titles,images,prices,ratings,purls
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41DjZNun3nL._AC_UL320_.jpg,₹891,4.1,
John Jacobs,https://m.media-amazon.com/images/I/511RXyYUGqL._AC_UL320_.jpg,"₹1,499",3.9,
Dervin,https://m.media-amazon.com/images/I/51hVf+IEFkL._AC_UL320_.jpg,₹420,4.5,
John Jacobs,https://m.media-amazon.com/images/I/51oJQP1it0L._AC_UL320_.jpg,"₹1,499",4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41Dr9I4x1EL._AC_UL320_.jpg,₹799,4.1,
EFERMONE,https://m.media-amazon.com/images/I/61NeoF8ZM3L._AC_UL320_.jpg,₹425,4.8,
Fastrack,https://m.media-amazon.com/images/I/61+THk53YIL._AC_UL320_.jpg,₹669,4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41KML+1HubL._AC_UL320_.jpg,₹944,4.1,
CREEK,https://m.media-amazon.com/images/I/51rvx+pOC4L._AC_UL320_.jpg,₹445,4.2,
Fastrack,https://m.media-amazon.com/images/I/61xbGkFmwvL._AC_UL320_.jpg,₹829,4.0,
BowieMall,https://m.media-amazon.com/images/I/51L7yD976wL._AC_UL320_.jpg,₹188,4.0,
IFLASH,https://m.media-amazon.com/images/I/515DtL0icvL._AC_UL320_.jpg,₹208,3.6,
Fastrack,https://m.media-amazon.com/images/I/513Dbd97tKL._AC_UL320_.jpg,₹509,4.0,
KAEN EYEWEAR,https://m.media-amazon.com/images/I/51o-pCMiFgL._AC_UL320_.jpg,₹599,4.8,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51I4L9BeazL._AC_UL320_.jpg,₹899,4.0,
Dervin,https://m.media-amazon.com/images/I/41TGcxLh9eL._AC_UL320_.jpg,₹349,3.8,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/411s0UWkwwL._AC_UL320_.jpg,₹891,4.1,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/514N5MTfz+L._AC_UL320_.jpg,"₹1,049",4.9,
Ray-Ban,https://m.media-amazon.com/images/I/51MpYIaVhCL._AC_UL320_.jpg,"₹7,458",4.4,
Voyage,https://m.media-amazon.com/images/I/51fNP30HB0L._AC_UL320_.jpg,₹680,4.1,
Voyage,https://m.media-amazon.com/images/I/51wXG6n2mOL._AC_UL320_.jpg,₹749,4.3,
grey jack,https://m.media-amazon.com/images/I/41NWBr4w-zL._AC_UL320_.jpg,"₹1,365",3.4,
Peter Jones,https://m.media-amazon.com/images/I/51YkRJbTqqL._AC_UL320_.jpg,₹630,3.9,
Eyewearlabs,https://m.media-amazon.com/images/I/51J+AZ2ZE0L._AC_UL320_.jpg,"₹2,499",4.1,
Dervin,https://m.media-amazon.com/images/I/51z0qqkdApL._AC_UL320_.jpg,₹550,4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41c9btM-x+L._AC_UL320_.jpg,₹999,4.0,
HAZON,https://m.media-amazon.com/images/I/51PhcgtOWNL._AC_UL320_.jpg,₹448,3.9,
Ray-Ban,https://m.media-amazon.com/images/I/51wYybFYyeL._AC_UL320_.jpg,"₹7,743",3.8,
CREATURE,https://m.media-amazon.com/images/I/51Z+82yuJgL._AC_UL320_.jpg,₹349,3.7,
Ray-Ban,https://m.media-amazon.com/images/I/51TcdEx-SbL._AC_UL320_.jpg,"₹13,032",4.4,
CAPITEUM,https://m.media-amazon.com/images/I/51fEbomTHeL._AC_UL320_.jpg,₹192,4.0,
Ray-Ban,https://m.media-amazon.com/images/I/516TkUq59NL._AC_UL320_.jpg,"₹6,392",3.9,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41-WAUcPCwL._AC_UL320_.jpg,₹899,4.2,
Ray-Ban,https://m.media-amazon.com/images/I/41WWfdm+AsL._AC_UL320_.jpg,"₹4,602",3.8,
HAZON,https://m.media-amazon.com/images/I/51n1-tDHpFL._AC_UL320_.jpg,₹450,3.8,
CREATURE,https://m.media-amazon.com/images/I/41STApZizVL._AC_UL320_.jpg,₹347,4.3,
ROYAL SON,https://m.media-amazon.com/images/I/61ebHG7ezaL._AC_UL320_.jpg,₹425,3.8,
Dervin,https://m.media-amazon.com/images/I/41yqM8NP0qL._AC_UL320_.jpg,₹349,4.2,
Ray-Ban,https://m.media-amazon.com/images/I/51FqKqAu8uL._AC_UL320_.jpg,"₹7,656",3.5,
Eyewearlabs,https://m.media-amazon.com/images/I/51+00yVlomL._AC_UL320_.jpg,₹749,4.4,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41EfF577LQL._AC_UL320_.jpg,₹944,4.0,
Dervin,https://m.media-amazon.com/images/I/714jrL5yoIL._AC_UL320_.jpg,₹432,3.9,
HASHTAG EYEWEAR,https://m.media-amazon.com/images/I/41WgijkDTjL._AC_UL320_.jpg,₹449,4.6,
Ray-Ban,https://m.media-amazon.com/images/I/418hmV0lLRL._AC_UL320_.jpg,"₹8,009",3.8,
CREEK,https://m.media-amazon.com/images/I/51LFC9WMeGL._AC_UL320_.jpg,₹474,4.3,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41KyVDIC0YL._AC_UL320_.jpg,₹899,4.0,
ARZONAI,https://m.media-amazon.com/images/I/31NvXL-aMrL._AC_UL320_.jpg,₹199,3.1,
Voyage,https://m.media-amazon.com/images/I/61Z0G4w2Q7L._AC_UL320_.jpg,₹923,4.0,
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/51Wu-rwzWdS._AC_UL320_.jpg,₹849,4.2,
Fastrack,https://m.media-amazon.com/images/I/61scPSZqeQL._AC_UL320_.jpg,"₹1,199",3.9,
CREATURE,https://m.media-amazon.com/images/I/71CxtNKeTlL._AC_UL320_.jpg,₹389,3.8,
